S.No,Product Listing,Scientific Name,Price,URL,Variegated,Type,Combo Names,Units
111,Sansevieria Combo Offer Of 6 (U),Sansevieria (Combo),Rs. 575.00,https://fermosaplants.com/collections/sansevieria/products/sansevieria-combo-offer-of-6-u,False,Combo,"['Erytherae', 'Fischeri', 'Patens', 'Sulcata', 'B10', 'Midnight Fountain']",6
112,S. Craigii True Form,Sansevieria Craigii,"Rs. 1,250.00",https://fermosaplants.com/collections/sansevieria/products/s-craigii-true-form,False,Plant,[],1
113,Combo #113 Combo Of 5 Sansevieria,Sansevieria (Combo),"Rs. 1,499.00",https://fermosaplants.com/collections/sansevieria/products/combo-113-combo-of-5-sansevieria,False,Combo,"['Bao Dam', 'Adventus', 'Black Ants', 'Jatayu', 'Black Mlandi']",5
114,#111 Sansevieria Combo Of 4 Plants,Sansevieria (Combo),Rs. 999.00,https://fermosaplants.com/collections/sansevieria/products/111-sansevieria-combo-of-4-plants,False,Combo,"['Sawasdee', 'Robo', 'Platinum Cross', 'Sindoro']",4
115,Sansevieria Manjha,Sansevieria Manjha,Rs. 575.00,https://fermosaplants.com/collections/sansevieria/products/sansevieria-manjha,False,Plant,[],1
116,S. Lake Sibaya Variegated,Sansevieria Lakesibaya Variegated,"Rs. 1,499.00",https://fermosaplants.com/collections/sansevieria/products/s-lake-sibaya-variegated,True,Plant,[],1
117,Sansevieria Juleha,Sansevieria Juleha,"Rs. 1,799.00",https://fermosaplants.com/collections/sansevieria/products/sansevieria-juleha,False,Plant,[],1
118,Moonshine Var Pup,Moonshine Var Pup,Rs. 699.00,https://fermosaplants.com/collections/sansevieria/products/moonshine-var-pup,False,Pup,[],1
119,Moonshine Mutant Pup,Moonshine Mutant Pup,Rs. 699.00,https://fermosaplants.com/collections/sansevieria/products/moonshine-mutant-pup,False,Pup,[],1
120,Combo #107 ( Combo Of 4 Plants),Sansevieria (Combo),"Rs. 1,650.00",https://fermosaplants.com/collections/sansevieria/products/combo-107-combo-of-4-plants,False,Combo,"['Sheila', 'Adventus', 'Rahwana', 'Maya']",4
121,Combo #106 (4 Beautiful Sansevieria),Sansevieria (Combo),"Rs. 1,499.00",https://fermosaplants.com/collections/sansevieria/products/combo-106-4-beautiful-sansevieria,False,Combo,"['Robo', 'Luna', 'Bao Dam', 'Star Gate']",4
122,Seven High Value Sansevieria Plants As Combo,Sansevieria (Combo),"Rs. 3,450.00",https://fermosaplants.com/collections/sansevieria/products/seven-high-value-sansevieria-plants-as-combo,False,Combo,"['Sinta', 'Ashwathama', 'Sengkuni', 'Prabu', 'Jatayu', 'Rahwana', 'Ravana']",7
123,Sansevieria Francissi Variegated,Sansevieria Francissi Variegated Small,Rs. 575.00,https://fermosaplants.com/collections/sansevieria/products/sansevieria-francissi-variegated,True,Plant,[],1
124,Combo #102 (5 Beautiful Sansevieria Pups),Sansevieria (Combo),"Rs. 1,850.00",https://fermosaplants.com/collections/sansevieria/products/combo-102-5-beautiful-sansevieria-pups,False,Combo,"['Black Ants', 'Nelsonii Banded', 'Black Gold Compacta', 'Green Arrow', 'Moonshine Mutant']",5
